************************************************
*    Row   * EventNumb * RunNumber *      lumi *
*    65739 *  29143288 *         1 *    145717 *
*    66612 *  29146835 *         1 *    145735 *
*    67149 *  29147755 *         1 *    145739 *
*    68674 *  29173285 *         1 *    145867 *
*    69490 *  29476695 *         1 *    147384 *
*    70733 * 146307193 *         1 *    731536 *
*    71243 *  31413881 *         1 *    157070 *
*    71293 *  31414804 *         1 *    157075 *
*    71442 *  31415357 *         1 *    157077 *
*    71556 *  31415639 *         1 *    157079 *
*    72452 *  31441922 *         1 *    157210 *
*    73156 *  34256843 *         1 *    171285 *
*    73644 *  48265632 *         1 *    241329 *
*    73954 * 123268286 *         1 *    616342 *
*    74425 *  37915873 *         1 *    189580 *
*    74999 *  38663568 *         1 *    193318 *
*    75587 *  39260193 *         1 *    196301 *
*    75810 *  39261570 *         1 *    196308 *
*    75882 *  44208741 *         1 *    221044 *
*    77221 *  30010817 *         1 *    150055 *
*    77520 *  30012209 *         1 *    150062 *
************************************************
